name,location,rate,cost
Jalsa,Banashankari,4.1,800
Spice Elephant,Banashankari,4.1,800
San Churro Cafe,Banashankari,3.8,800
Addhuri Udupi Bhojana,Banashankari,3.7,300
Grand Village,Basavanagudi,3.8,600
Timepass Dinner,Basavanagudi,3.8,600
Onesta,Banashankari,4.6,600
Penthouse Cafe,Banashankari,4.0,700
Smacznego,Banashankari,4.2,550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,500
Cafe Shuffle,Banashankari,4.2,600
The Coffee Shack,Banashankari,4.2,500
Caf-Eleven,Banashankari,4.0,450
San Churro Cafe,Banashankari,3.8,800
Cafe Vivacity,Banashankari,3.8,650
Catch-up-ino,Banashankari,3.9,800
Kirthi's Biryani,Banashankari,3.8,700
T3H Cafe,Banashankari,3.9,300
The Vintage Cafe,Banashankari,3.0,400
Woodee Pizza,Banashankari,3.7,500
My Tea House,Banashankari,3.6,600
Srinathji's Cafe,Basavanagudi,3.8,550
Redberrys,Basavanagudi,4.0,600
Foodiction,Banashankari,2.8,500
Ovenstory Pizza,Banashankari,3.9,750
Faasos,Banashankari,4.2,500
Behrouz Biryani,Banashankari,3.9,650
Szechuan Dragon,Banashankari,4.2,600
Empire Restaurant,Jayanagar,4.4,750
Chaatimes,Basavanagudi,3.8,200
McDonald's,Banashankari,3.9,500
Domino's Pizza,Banashankari,3.9,800
Onesta,Banashankari,4.6,600
Hotboxit,Banashankari,3.8,400
Kitchen Garden,Kumaraswamy Layout,3.6,300
Recipe,Kumaraswamy Layout,4.0,450
Beijing Bites,Rajarajeshwari Nagar,3.7,850
Tasty Bytes,Kumaraswamy Layout,3.1,300
Corner House Ice Cream,Banashankari,4.3,400
Biryanis And More,Jayanagar,4.0,750
Roving Feast,Banashankari,4.0,450
FreshMenu,Banashankari,3.9,450
Wamama,Banashankari,4.2,800
Peppy Peppers,Banashankari,4.2,800
Goa 0 Km,Kumaraswamy Layout,3.6,800
1947,Banashankari,4.0,850
Kabab Magic,Basavanagudi,4.1,400
Gustoes Beer House,Banashankari,4.1,1200
The Biryani Cafe,Banashankari,4.1,300
Rolls On Wheels,Banashankari,3.6,300
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,150
Upahar Sagar,Banashankari,3.8,350
Frozen Bottle,Banashankari,4.2,400
Meghana Foods,Jayanagar,4.4,600
Nandhini Deluxe,Banashankari,2.6,600
Vi Ra's Bar and Restaurant,Banashankari,3.3,800
Chatar Patar,Banashankari,3.7,300
Polar Bear,Basavanagudi,3.8,400
Kidambi's Kitchen,Banashankari,3.5,300
Mane Thindi,Banashankari,3.7,200
Floured-Baked With Love,Banashankari,3.8,400
Bengaluru Coffee House,Banashankari,4.1,300
Anna Kuteera,Banashankari,4.0,450
Darbar,Banashankari,3.0,800
Sri Udupi Food Hub,Jayanagar,4.1,500
House Of Kebabs,Basavanagudi,3.8,650
Roll N Rock,Kumaraswamy Layout,3.8,400
BOX8- Desi Meals,Banashankari,4.1,500
KFC,Banashankari,3.8,450
Roll Over,Jayanagar,4.1,500
Imperial Restaurant,Mysore Road,3.7,750
Wahab,Jayanagar,3.7,350
Canton,Jayanagar,3.6,800
The Blue Wagon - Kitchen,Jayanagar,4.6,400
Patio 805,Jayanagar,4.1,1200
Lassi Corner,Basavanagudi,3.7,150
Sagar Deluxe,Kumaraswamy Layout,3.2,300
Energy Addaa,Basavanagudi,4.2,500
Tandoori Knight,Banashankari,3.0,450
Dev Sagar - Food Street,Basavanagudi,4.1,200
Mitraa Da Pizza,Kumaraswamy Layout,3.8,250
Grazers,Jayanagar,3.9,650
Shakes Theory,Jayanagar,4.5,300
@Italy,Kumaraswamy Layout,4.1,700
Old Mumbai Ice Cream,Banashankari,3.9,150
Donne Biriyani House,Banashankari,3.9,400
Kedia's Fun Food,Jayanagar,4.3,200
Just Shawarma,Kumaraswamy Layout,3.9,300
Mini Punjabi Dhaba,Banashankari,4.2,350
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,500
Gokul Veg,Basavanagudi,3.8,750
Olive - Era,Kumaraswamy Layout,3.3,550
Gama Gama,Banashankari,3.9,200
The Vintage Cafe,Banashankari,3.0,400
Pizza Hut,Banashankari,3.8,750
Mangalore Pearl,Jayanagar,3.8,650
Twiststick House,Basavanagudi,4.1,500
Cool Corner,Basavanagudi,4.2,250
Pizza Mane,Banashankari,3.5,150
Dal Tadkaa,Banashankari,2.5,500
Chutney Chang,Jayanagar,4.1,1500
Mystique Palate,Jayanagar,4.1,300
Thamboola,Banashankari,3.9,800
Castle Rock,Uttarahalli,3.6,700
Vietnamese Kitchen,Banashankari,3.6,700
Smacznego,Banashankari,4.2,550
Toscano,Jayanagar,4.3,1300
Stoned Monkey,Banashankari,4.3,500
Central Jail Restaurant,Jayanagar,3.8,700
Bella,Jayanagar,3.9,1000
New Prashanth Hotel,Jayanagar,3.6,750
Karma Kaapi,Jayanagar,4.4,250
Tiwari's,Jayanagar,3.8,200
Pizza Stop,Basavanagudi,3.8,600
Biggies Burger 'n' More,Kumaraswamy Layout,3.6,650
Srinathji's Cafe,Basavanagudi,3.8,550
Kollapuri's,Basavanagudi,3.9,450
RS Shiv Sagar,Basavanagudi,3.7,450
Harshi Super Sandwich,Basavanagudi,3.8,150
Ugadi,Jayanagar,2.9,700
Subway,Banashankari,3.7,600
The Lassi Park,Jayanagar,4.1,200
A2B - Adyar Ananda Bhavan,Mysore Road,3.8,400
Srikrishna Bhavan,Banashankari,3.8,300
Timepass Dinner,Basavanagudi,3.8,600
Green Gardenia,Banashankari,3.8,700
J Spice,Banashankari,3.8,750
Hatti Kaapi,Jayanagar,4.0,200
Upahara Darshini,Basavanagudi,3.9,600
The Chaat Shop,Basavanagudi,2.5,200
My Tea House,Banashankari,3.6,600
Samskruti - Sanman Gardenia,Jayanagar,4.1,550
Chumma Delicious,Banashankari,3.7,200
New Prashanth Hotel,Banashankari,3.9,650
Dwaraka Grand,Kumaraswamy Layout,3.9,500
Gufha - The President Hotel,Jayanagar,4.1,1200
Cafe Vivacity,Banashankari,3.8,650
Mojo Pizza - 2X Toppings,Banashankari,4.2,600
South Kitchen,Basavanagudi,4.3,100
Chung Wah,Jayanagar,3.7,850
Prems Graama Bhojanam,Jayanagar,4.3,400
Java City,Jayanagar,2.6,450
Kamat Bugle Rock,Basavanagudi,3.9,300
Woodee Pizza,Banashankari,3.7,500
Puliyogare Point,Basavanagudi,4.2,100
Bangalore Agarwal Bhavan,Jayanagar,3.9,400
Rustic Stove,Jayanagar,3.8,900
De Thaali,Jayanagar,3.9,550
Spice Elephant,Banashankari,4.1,800
Matru Sagar,Banashankari,3.6,250
Sea Spice by 7 Star,Banashankari,4.0,1200
Desi Dawat,Kumaraswamy Layout,3.7,400
Cafe Aira,Basavanagudi,4.1,500
Penthouse Cafe,Banashankari,4.0,700
Mast Punjabi,Kumaraswamy Layout,2.6,400
South Grand,Uttarahalli,3.4,400
Catch-up-ino,Banashankari,3.9,800
The Pizzeria,Banashankari,2.8,800
Ruchis Point,Banashankari,3.8,200
Firangi Bake,Rajarajeshwari Nagar,4.0,600
The Royal Corner - Pai Viceroy,Jayanagar,4.2,900
Hara Fine Dine,Banashankari,4.0,800
Chocoberry,Jayanagar,3.5,400
Waffle-A-Go Go,Banashankari,3.9,400
Cross Road Cafe,Jayanagar,3.9,300
Bakers Town,Kumaraswamy Layout,3.8,650
Ivy,Kumaraswamy Layout,3.8,600
The Airos,Jayanagar,4.1,650
Chai Kraft,Jayanagar,4.1,100
Kirthi's Biryani,Banashankari,3.8,700
The Trundle,Jayanagar,3.7,700
The Krishna Grand Xpress,Jayanagar,4.0,350
Udupi Grand,Basavanagudi,3.8,300
Little Cafe,Basavanagudi,3.7,600
1980s Games Cafe,Basavanagudi,3.4,400
Kadala Tarangaa,Banashankari,3.6,600
As On Fire,South Bangalore,3.5,400
Curry Leaves,Basavanagudi,4.1,800
Magic Meals,Jayanagar,3.7,400
Desi Cream Junction,Jayanagar,3.7,650
Eat Repeat,Basavanagudi,3.9,150
Salut,Jayanagar,4.1,1200
Sandwich Mama's And Frozen Monster,Jayanagar,3.8,250
Food Springs,Jayanagar,4.0,400
Chung's Chinese Corner,Jayanagar,3.9,700
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,4.1,1200
Goli Vada Pav No. 1,Basavanagudi,3.7,200
Ragoo's,Jayanagar,3.9,800
Pure & Natural,Jayanagar,3.9,500
Maiyas,Jayanagar,4.0,200
Sip n Dine,Vijay Nagar,3.6,800
Cafe Mondo,Basavanagudi,3.7,600
Jalpaan,Jayanagar,4.0,900
Kataria's Pakwan,Kumaraswamy Layout,3.2,400
Juicy Momos,Banashankari,3.5,250
Amande Patisserie,Basavanagudi,4.0,300
Anand Sweets and Savouries,Jayanagar,3.9,400
Chicken Hunt,Banashankari,3.5,350
Swadesh Tadka,Banashankari,3.5,600
Cane-O-La,Basavanagudi,3.8,100
New Biryani Mane,Uttarahalli,3.7,450
Upahara Darshini,Jayanagar,3.8,400
Karnataka Bhel House,Basavanagudi,4.1,100
Sreeraj Lassi Bar,Jayanagar,4.1,150
Bunt's Biriyani Palace,Banashankari,3.0,400
Chai Point,Jayanagar,3.2,250
Janahaar,Banashankari,3.8,100
Redberrys,Basavanagudi,4.0,600
Utsav,Banashankari,3.7,200
The Spice Saga,Kumaraswamy Layout,3.7,750
Jalsa,Banashankari,4.1,800
Subz,Jayanagar,4.2,1000
Cafe Shuffle,Banashankari,4.2,600
Mint and Mustard,Basavanagudi,4.0,750
Punjabi Raswada,Jayanagar,3.5,800
Vinny's,Banashankari,4.2,800
Sukh Sagar,Jayanagar,3.8,450
Andhra Ruchulu,Jayanagar,4.1,1000
Steaming Mugs,Basavanagudi,3.9,700
San Churro Cafe,Banashankari,3.8,800
Rajathadri Food Fort,Jayanagar,4.0,600
Brew Meister,Jayanagar,4.1,1500
Rasoi,Banashankari,3.3,300
Mr. Singh Da Dhaba,Kumaraswamy Layout,3.6,300
Ayodhya Upachar,Banashankari,4.3,200
Biriyani Mane,Jayanagar,3.8,400
Cafe Ajfan,Jayanagar,4.2,700
Brundhavana Food Point,Kumaraswamy Layout,4.0,300
SLV Corner Restaurant,Basavanagudi,4.1,550
The Krishna Grand,Banashankari,3.9,750
Roti Ghar,Basavanagudi,3.9,500
The Coffee Shack,Banashankari,4.2,500
Baisakhi,Basavanagudi,3.8,500
Corner House Ice Cream,Banashankari,4.3,400
Poonam Sweets,Banashankari,4.4,150
Old Mumbai Ice Cream,Banashankari,3.9,150
Polar Bear,Banashankari,3.9,400
